deploymentID,locationID,locationName,longitude,latitude,coordinateUncertainty,start,end,setupBy,cameraID,cameraModel,cameraInterval,cameraHeight,cameraTilt,cameraHeading,timestampIssues,baitUse,session,array,featureType,habitat,tags,comments,_id
41d94dbc-85b0-49e9-8d73-0e025479bbe5,6a29a6fe-f24f-47e8-a714-b2d7f1b97833,flevopark_11,4.94898,52.35951,,2021-12-02T13:12:40+01:00,2021-12-09T13:05:01+01:00,,,,,,,,,scent,,,,,,null,
4b2815e9-2794-4e14-8ed2-04128d8e397e,d80e73d8-8abe-4b36-81b8-4c7ff03dd7da,flevopark_3,4.95035,52.36167,,2021-12-09T11:24:41+01:00,2021-12-16T12:25:17+01:00,,,,,,,,,,,,,,,null,
4b2922c8-5290-431c-b9c9-b97c0fca9292,64c6c826-2ef1-4bf8-b14a-1dbde887498a,flevopark_4,4.94838,52.36188,,2021-11-24T13:13:12+01:00,2021-12-02T12:18:57+01:00,,,,,,,,,,,,,,,null,
4dbcd494-151f-4f54-98ea-72dcc0bcabfe,,,,,,,,,,,,,,,,,,,,,,,
50e0660e-3f27-417d-9ff3-55d7a06314f6,c5b48585-9e3d-43fb-8a68-cd30f88a01f2,flevopark_5,4.94919,52.36140,,2021-12-02T14:01:38+01:00,2021-12-09T11:56:59+01:00,,,,,,,,,scent,,,,,,,
52b5d82e-ee6f-45da-ab6e-13d825ed6c0e,6a29a6fe-f24f-47e8-a714-b2d7f1b97833,flevopark_11,4.94898,52.35951,,2021-12-09T13:08:30+01:00,2021-12-09T16:52:57+01:00,,,,,,,,,,,,,,,,
53a7cb3a-0aa9-4cd8-9d4b-815dcd872bf9,fb15f4c8-7e56-4df8-86e3-469a6232d028,flevopark_9,4.94795,52.35861,,2021-09-16T12:23:52+01:00,2021-11-11T16:18:36+01:00,,,,,,,,,scent,,,,,,,
580667d1-b782-401a-82df-dbc53f39b34b,c5b48585-9e3d-43fb-8a68-cd30f88a01f2,flevopark_5,4.94919,52.36140,,2021-11-11T14:03:32+01:00,2021-11-24T12:59:25+01:00,,,,,,,,,scent,,,,,,,
5a68a13b-edbb-46d3-9c90-0c6e994b88a8,fb15f4c8-7e56-4df8-86e3-469a6232d028,flevopark_9,4.94795,52.35861,,2021-12-02T13:40:40+01:00,2021-12-09T13:34:48+01:00,,,,,,,,,scent,,,,,,,
5a6d4d06-e605-4620-93a4-2fb2c8efee78,64c6c826-2ef1-4bf8-b14a-1dbde887498a,flevopark_4,4.94838,52.36188,,2021-12-02T12:21:32+01:00,2021-12-09T12:09:07+01:00,,,,,,,,,scent,,,,,,,
5aadf9b0-f354-49ff-a356-898d4b8e3874,8cf903b0-9bda-47bd-a09b-3f1ff919056a,flevopark_7,4.94783,52.36000,,2020-01-01T00:06:06+01:00,2020-01-08T00:53:29+01:00,,,,,,,,,,,,,,,,
5ac28910-8884-4c29-9a03-03d22945918f,b139aee2-7475-4e7e-86db-7e2e5859694c,flevopark_6,4.94794,52.36054,,2021-10-02T15:12:03+01:00,2021-11-11T14:50:36+01:00,,,,,,,,,scent,,,,,,,
61501a38-0aa4-444d-b06b-108523de6757,6a29a6fe-f24f-47e8-a714-b2d7f1b97833,flevopark_11,4.94898,52.35951,,2021-09-30T15:32:17+01:00,2021-11-18T13:41:17+01:00,,,,,,,,,scent,,,,,,,
